ID,alpha,beta,alpha - beta,max_gain,max_loss,n_simulation,initial_value,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,200,0.0,0.0,0.0,16.0,9.0,24.0,26.0,11.0,14.0,0.0,5.49,6.0,6.0,4.75,6.25
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,300,0.0,0.0,0.0,26.0,18.0,24.0,15.0,8.0,9.0,0.0,4.88,5.0,3.0,3.0,6.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,400,0.0,0.0,0.0,29.0,23.0,19.0,16.0,5.0,8.0,0.0,4.69,4.0,3.0,3.0,6.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,500,0.0,0.0,6.0,21.0,33.0,19.0,11.0,5.0,5.0,0.0,4.43,4.0,4.0,3.0,5.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,600,0.0,0.0,15.0,20.0,31.0,12.0,10.0,6.0,6.0,0.0,4.24,4.0,4.0,3.0,5.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,700,0.0,0.0,29.0,10.0,28.0,9.0,19.0,3.0,2.0,0.0,3.96,4.0,2.0,2.0,5.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,200,0.0,0.0,35.0,31.0,19.0,7.0,5.0,1.0,2.0,0.0,3.27,3.0,2.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,300,0.0,0.0,22.0,38.0,24.0,7.0,4.0,2.0,3.0,0.0,3.51,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,400,0.0,0.0,17.0,43.0,11.0,13.0,6.0,5.0,5.0,0.0,3.83,3.0,3.0,3.0,5.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,500,0.0,0.0,28.0,36.0,17.0,10.0,6.0,1.0,2.0,0.0,3.41,3.0,3.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,600,0.0,0.0,17.0,38.0,27.0,9.0,3.0,2.0,4.0,0.0,3.65,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,700,0.0,0.0,24.0,34.0,19.0,13.0,4.0,4.0,2.0,0.0,3.59,3.0,3.0,3.0,4.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,200,0.0,0.0,0.0,21.0,38.0,28.0,4.0,6.0,3.0,0.0,4.45,4.0,4.0,4.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,300,0.0,0.0,0.0,29.0,37.0,15.0,9.0,3.0,7.0,0.0,4.41,4.0,4.0,3.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,400,0.0,0.0,0.0,26.0,34.0,17.0,11.0,7.0,5.0,0.0,4.54,4.0,4.0,3.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,500,0.0,0.0,0.0,30.0,31.0,24.0,6.0,3.0,6.0,0.0,4.39,4.0,4.0,3.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,600,0.0,0.0,0.0,23.0,41.0,17.0,10.0,1.0,8.0,0.0,4.49,4.0,4.0,4.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,700,0.0,0.0,0.0,29.0,42.0,12.0,11.0,5.0,1.0,0.0,4.24,4.0,4.0,3.0,5.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,200,0.0,0.0,0.0,0.0,23.0,14.0,24.0,24.0,15.0,0.0,5.94,6.0,6.0,5.0,7.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,300,0.0,0.0,0.0,20.0,27.0,18.0,15.0,11.0,9.0,0.0,4.97,5.0,4.0,4.0,6.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,400,0.0,0.0,0.0,24.0,39.0,17.0,8.0,4.0,8.0,0.0,4.53,4.0,4.0,4.0,5.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,500,0.0,0.0,0.0,24.0,41.0,15.0,4.0,10.0,6.0,0.0,4.53,4.0,4.0,4.0,5.0
