ID,alpha,beta,alpha - beta,max_gain,max_loss,n_simulation,initial_value,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,200,0.0,0.0,0.0,23.0,15.0,25.0,19.0,9.0,9.0,0.0,5.03,5.0,5.0,4.0,6.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,300,0.0,0.0,0.0,19.0,29.0,26.0,13.0,4.0,9.0,0.0,4.81,5.0,4.0,4.0,6.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,400,0.0,0.0,0.0,22.0,40.0,17.0,13.0,4.0,4.0,0.0,4.49,4.0,4.0,4.0,5.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,500,0.0,0.0,0.0,19.0,48.0,20.0,7.0,5.0,1.0,0.0,4.34,4.0,4.0,4.0,5.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,600,0.0,0.0,0.0,31.0,43.0,11.0,10.0,3.0,2.0,0.0,4.17,4.0,4.0,3.0,5.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,700,0.0,0.0,28.0,21.0,23.0,13.0,6.0,5.0,4.0,0.0,3.79,4.0,2.0,2.0,5.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,200,0.0,0.0,36.0,29.0,11.0,11.0,10.0,2.0,1.0,0.0,3.4,3.0,2.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,300,0.0,0.0,24.0,41.0,16.0,4.0,11.0,3.0,1.0,0.0,3.5,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,400,0.0,0.0,29.0,35.0,19.0,12.0,3.0,0.0,2.0,0.0,3.33,3.0,3.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,500,0.0,0.0,21.0,32.0,22.0,12.0,10.0,0.0,3.0,0.0,3.7,3.0,3.0,3.0,4.25
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,600,0.0,0.0,29.0,37.0,17.0,10.0,3.0,2.0,2.0,0.0,3.35,3.0,3.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,700,0.0,0.0,20.0,49.0,15.0,12.0,1.0,1.0,2.0,0.0,3.36,3.0,3.0,3.0,4.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,200,0.0,0.0,0.0,30.0,29.0,21.0,11.0,4.0,5.0,0.0,4.45,4.0,3.0,3.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,300,0.0,0.0,0.0,19.0,42.0,23.0,10.0,4.0,2.0,0.0,4.44,4.0,4.0,4.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,400,0.0,0.0,0.0,25.0,37.0,19.0,9.0,3.0,7.0,0.0,4.49,4.0,4.0,3.75,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,500,0.0,0.0,0.0,39.0,34.0,15.0,5.0,3.0,4.0,0.0,4.11,4.0,3.0,3.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,600,0.0,0.0,0.0,35.0,28.0,14.0,14.0,5.0,4.0,0.0,4.38,4.0,3.0,3.0,5.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,700,0.0,0.0,0.0,47.0,27.0,8.0,8.0,7.0,3.0,0.0,4.1,4.0,3.0,3.0,5.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,200,0.0,0.0,0.0,0.0,27.0,36.0,22.0,7.0,8.0,0.0,5.33,5.0,5.0,4.0,6.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,300,0.0,0.0,0.0,21.0,33.0,17.0,16.0,8.0,5.0,0.0,4.72,4.0,4.0,4.0,6.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,400,0.0,0.0,0.0,25.0,28.0,16.0,16.0,7.0,8.0,0.0,4.76,4.0,4.0,3.75,6.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,500,0.0,0.0,0.0,37.0,32.0,16.0,6.0,3.0,6.0,0.0,4.24,4.0,3.0,3.0,5.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,600,0.0,0.0,0.0,35.0,33.0,17.0,8.0,1.0,6.0,0.0,4.25,4.0,3.0,3.0,5.0
1129_01_04,0.914,0.449,0.465,11260,32500,100.0,700,0.0,0.0,0.0,41.0,34.0,11.0,3.0,6.0,5.0,0.0,4.14,4.0,3.0,3.0,4.25
1129_01_05,2.015,1.088,0.927,3410,8975,100.0,200,0.0,0.0,42.0,26.0,15.0,10.0,6.0,0.0,1.0,0.0,3.16,3.0,2.0,2.0,4.0
1129_01_05,2.015,1.088,0.927,3410,8975,100.0,300,0.0,0.0,54.0,21.0,12.0,5.0,3.0,2.0,3.0,0.0,3.0,2.0,2.0,2.0,3.25
1129_01_05,2.015,1.088,0.927,3410,8975,100.0,400,0.0,0.0,52.0,28.0,12.0,3.0,2.0,1.0,2.0,0.0,2.86,2.0,2.0,2.0,3.0
1129_01_05,2.015,1.088,0.927,3410,8975,100.0,500,0.0,0.0,55.0,27.0,8.0,4.0,4.0,2.0,0.0,0.0,2.81,2.0,2.0,2.0,3.0
