ID,alpha,beta,alpha - beta,max_gain,max_loss,n_simulation,initial_value,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,200,0.0,51.0,23.0,10.0,6.0,8.0,2.0,0.0,0.0,0.0,2.03,1.0,1.0,1.0,3.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,300,51.0,25.0,12.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,1.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,400,52.0,30.0,6.0,8.0,0.0,2.0,0.0,1.0,1.0,0.0,0.91,0.0,0.0,0.0,1.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,500,53.0,24.0,9.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,1.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,600,47.0,22.0,18.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,1.17,1.0,0.0,0.0,2.0
1129_01_01,1.294,0.886,0.408,14650,15410,100.0,700,50.0,17.0,17.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,1.18,0.5,0.0,0.0,2.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,200,0.0,0.0,36.0,31.0,17.0,9.0,6.0,0.0,1.0,0.0,3.22,3.0,2.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,300,0.0,0.0,41.0,24.0,19.0,12.0,0.0,3.0,1.0,0.0,3.19,3.0,2.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,400,0.0,0.0,23.0,34.0,18.0,10.0,4.0,7.0,4.0,0.0,3.75,3.0,3.0,3.0,4.25
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,500,0.0,0.0,23.0,37.0,25.0,8.0,6.0,0.0,1.0,0.0,3.41,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,600,0.0,0.0,28.0,32.0,23.0,10.0,1.0,4.0,2.0,0.0,3.44,3.0,3.0,2.0,4.0
1129_01_02,0.806,0.815,-0.009,14060,10225,100.0,700,0.0,0.0,25.0,36.0,17.0,12.0,4.0,2.0,4.0,0.0,3.56,3.0,3.0,2.75,4.0
1129_01_03,0.383,0.261,0.122,13640,41380,100.0,200,0.0,0.0,46.0,28.0,12.0,8.0,4.0,2.0,0.0,0.0,3.02,3.0,2.0,2.0,4.0
