ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
1,0.15,0.3,100,200,0,36,35,19,4,1,3,2,0,3.16,3,2,2,4
2,0.15,0.3,100,300,0,22,38,19,9,5,5,2,0,3.6,3,3,3,4
3,0.15,0.3,100,400,0,31,31,22,8,8,0,0,0,3.31,3,2,2,4
4,0.15,0.3,100,500,0,17,44,21,9,6,2,1,0,3.53,3,3,3,4
5,0.15,0.3,100,600,0,26,46,13,8,3,1,3,0,3.31,3,3,2,4
6,0.15,0.3,100,700,0,14,32,29,14,5,1,5,0,3.87,4,3,3,4.25
7,0.2,0.3,100,500,0,0,47,37,7,4,3,2,0,3.85,4,3,3,4
8,0.2,0.3,100,600,0,0,42,26,16,12,3,1,0,4.11,4,3,3,5
9,0.2,0.3,100,700,0,0,37,30,14,8,2,9,0,4.35,4,3,3,5
10,0.2,0.35,100,200,0,24,43,22,5,2,2,2,0,3.32,3,3,3,4
11,0.2,0.35,100,300,0,31,33,26,3,4,2,1,0,3.26,3,3,2,4
12,0.2,0.35,100,400,0,25,37,18,12,3,2,3,0,3.49,3,3,2.75,4
13,0.2,0.35,100,500,0,25,36,20,9,3,4,3,0,3.53,3,3,2.75,4
14,0.2,0.35,100,600,0,28,43,12,10,4,1,2,0,3.3,3,3,2,4
15,0.2,0.35,100,700,0,19,37,23,7,5,6,3,0,3.72,3,3,3,4
16,0.25,0.35,100,200,0,25,37,18,7,6,2,5,0,3.58,3,3,2.75,4
17,0.25,0.35,100,300,0,24,35,19,7,9,5,1,0,3.61,3,3,3,4
18,0.25,0.35,100,400,0,23,38,22,10,4,3,0,0,3.43,3,3,3,4
19,0.25,0.35,100,500,0,8,48,19,15,6,1,3,0,3.78,3,3,3,4.25
20,0.25,0.35,100,600,0,8,34,32,12,12,0,2,0,3.94,4,3,3,5
21,0.25,0.35,100,700,0,9,30,26,16,6,8,5,0,4.24,4,3,3,5
22,0.25,0.4,100,200,0,37,32,16,6,5,2,2,0,3.24,3,2,2,4
23,0.25,0.4,100,300,0,21,41,18,10,2,5,3,0,3.58,3,3,3,4
24,0.25,0.4,100,400,0,35,33,17,5,5,2,3,0,3.3,3,2,2,4
25,0.25,0.4,100,500,0,29,38,17,7,3,2,4,0,3.39,3,3,2,4
26,0.25,0.4,100,600,0,24,39,15,9,5,3,5,0,3.61,3,3,3,4
27,0.25,0.4,100,700,0,36,32,16,8,2,2,4,0,3.3,3,2,2,4
28,0.3,0.35,100,300,0,0,44,31,16,5,1,3,0,3.97,4,3,3,4.25
29,0.3,0.35,100,400,0,0,41,31,11,9,6,2,0,4.14,4,3,3,5
30,0.3,0.35,100,500,0,0,28,32,17,14,6,3,0,4.47,4,4,3,5
31,0.3,0.35,100,600,0,0,32,36,18,8,3,3,0,4.23,4,4,3,5
32,0.3,0.35,100,700,0,0,22,40,16,9,8,5,0,4.56,4,4,4,5
33,0.3,0.4,100,200,0,25,39,18,10,5,3,0,0,3.4,3,3,2.75,4
34,0.3,0.4,100,300,0,23,35,21,11,2,5,3,0,3.61,3,3,3,4
35,0.3,0.4,100,400,0,23,43,13,7,5,5,4,0,3.59,3,3,3,4
36,0.3,0.4,100,500,0,26,34,21,15,2,2,0,0,3.39,3,3,2,4
37,0.3,0.4,100,600,0,24,38,14,16,3,1,4,0,3.55,3,3,3,4
38,0.3,0.4,100,700,0,32,28,17,11,7,2,3,0,3.51,3,2,2,4
39,0.3,0.45,100,200,0,36,30,21,4,6,2,1,0,3.24,3,2,2,4
40,0.3,0.45,100,300,0,22,39,18,15,2,1,3,0,3.51,3,3,3,4
41,0.3,0.45,100,400,0,29,42,14,10,2,1,2,0,3.25,3,3,2,4
42,0.3,0.45,100,500,0,28,30,15,17,3,3,4,0,3.62,3,3,2,5
43,0.3,0.45,100,600,0,32,32,14,12,6,2,2,0,3.42,3,2,2,4
44,0.3,0.45,100,700,0,21,43,23,3,3,2,5,0,3.5,3,3,3,4
45,0.35,0.4,100,200,0,8,44,18,15,7,5,3,0,3.96,3,3,3,5
46,0.35,0.4,100,300,0,9,37,22,18,9,4,1,0,3.97,4,3,3,5
47,0.35,0.4,100,400,0,11,34,27,12,11,2,3,0,3.96,4,3,3,5
48,0.35,0.4,100,500,0,11,27,37,10,8,3,4,0,4.02,4,4,3,4.25
49,0.35,0.4,100,600,0,12,26,24,14,13,4,7,0,4.3,4,3,3,5
50,0.35,0.4,100,700,0,11,32,28,17,5,4,3,0,3.97,4,3,3,5
51,0.35,0.45,100,200,0,26,35,19,10,5,3,2,0,3.5,3,3,2,4
52,0.35,0.45,100,300,0,16,41,19,14,5,3,2,0,3.68,3,3,3,4
53,0.35,0.45,100,400,0,22,39,26,8,3,1,1,0,3.38,3,3,3,4
54,0.35,0.45,100,500,0,18,49,12,11,7,1,2,0,3.51,3,3,3,4
55,0.35,0.45,100,600,0,29,44,11,7,5,3,1,0,3.28,3,3,2,4
56,0.35,0.45,100,700,0,16,44,21,10,5,0,4,0,3.6,3,3,3,4
57,0.35,0.5,100,200,0,53,25,11,8,1,1,1,0,2.86,2,2,2,3
58,0.35,0.5,100,300,0,37,36,10,8,6,2,1,0,3.2,3,2,2,4
59,0.35,0.5,100,400,0,27,37,17,10,5,3,1,0,3.42,3,3,2,4
60,0.35,0.5,100,500,0,30,36,21,8,3,1,1,0,3.25,3,3,2,4
61,0.35,0.5,100,600,0,29,33,20,9,3,4,2,0,3.44,3,3,2,4
62,0.35,0.5,100,700,0,16,43,21,13,3,1,3,0,3.59,3,3,3,4
63,0.4,0.35,100,700,0,0,26,38,17,10,6,3,0,4.41,4,4,3,5
64,0.4,0.45,100,200,0,25,44,10,11,4,2,4,0,3.47,3,3,2.75,4
65,0.4,0.45,100,300,0,25,32,20,13,5,1,4,0,3.6,3,3,2.75,4
66,0.4,0.45,100,400,0,19,40,27,11,2,1,0,0,3.4,3,3,3,4
67,0.4,0.45,100,500,0,14,41,23,12,6,2,2,0,3.69,3,3,3,4
68,0.4,0.45,100,600,0,24,35,24,11,2,4,0,0,3.44,3,3,3,4
69,0.4,0.45,100,700,0,34,24,18,10,9,4,1,0,3.52,3,2,2,4
70,0.4,0.5,100,200,0,25,38,20,10,4,3,0,0,3.39,3,3,2.75,4
71,0.4,0.5,100,300,0,26,36,17,13,6,0,2,0,3.45,3,3,2,4
72,0.4,0.5,100,400,0,26,35,17,12,3,5,2,0,3.54,3,3,2,4
73,0.4,0.5,100,500,0,24,45,20,8,1,2,0,0,3.23,3,3,3,4
74,0.4,0.5,100,600,0,27,33,23,9,4,1,3,0,3.45,3,3,2,4
75,0.4,0.5,100,700,0,22,41,25,3,3,1,5,0,3.47,3,3,3,4
76,0.4,0.55,100,200,0,63,14,12,5,4,2,0,0,2.79,2,2,2,3
77,0.4,0.55,100,300,0,41,30,14,8,5,2,0,0,3.12,3,2,2,4
78,0.4,0.55,100,400,0,31,34,23,5,4,2,1,0,3.27,3,3,2,4
79,0.4,0.55,100,500,0,23,39,14,8,9,5,2,0,3.64,3,3,3,4
80,0.4,0.55,100,600,0,17,50,13,8,6,4,2,0,3.56,3,3,3,4
81,0.4,0.55,100,700,0,27,37,19,5,6,5,1,0,3.45,3,3,2,4
82,0.45,0.4,100,400,0,0,25,40,15,7,7,6,0,4.49,4,4,3.75,5
83,0.45,0.4,100,500,0,0,31,36,16,10,3,4,0,4.3,4,4,3,5
84,0.45,0.4,100,600,0,0,29,34,20,12,3,2,0,4.32,4,4,3,5
85,0.45,0.4,100,700,0,0,27,40,20,7,3,3,0,4.28,4,4,3,5
86,0.45,0.5,100,200,0,20,31,26,7,6,6,4,0,3.82,3,3,3,4
87,0.45,0.5,100,300,0,24,37,25,8,4,1,1,0,3.38,3,3,3,4
88,0.45,0.5,100,400,0,31,35,15,8,6,4,1,0,3.39,3,3,2,4
89,0.45,0.5,100,500,0,29,39,15,8,6,2,1,0,3.33,3,3,2,4
90,0.45,0.5,100,600,0,30,33,21,10,4,1,1,0,3.32,3,3,2,4
91,0.45,0.5,100,700,0,32,36,14,9,5,1,3,0,3.34,3,3,2,4
92,0.45,0.55,100,200,0,20,38,18,14,5,1,4,0,3.65,3,3,3,4
93,0.45,0.55,100,300,0,23,45,21,9,1,1,0,0,3.23,3,3,3,4
