ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
101.0,0.95,1.05,100.0,200,29.0,31.0,18.0,9.0,9.0,1.0,2.0,1.0,0.0,2.54,2.0,2.0,1.0,3.0
101.0,0.95,1.05,100.0,300,27.0,37.0,18.0,8.0,4.0,3.0,2.0,1.0,0.0,2.47,2.0,2.0,1.0,3.0
101.0,0.95,1.05,100.0,400,24.0,49.0,12.0,11.0,2.0,0.0,2.0,0.0,0.0,2.26,2.0,2.0,2.0,3.0
101.0,0.95,1.05,100.0,500,26.0,40.0,19.0,7.0,3.0,1.0,1.0,3.0,0.0,2.43,2.0,2.0,1.0,3.0
101.0,0.95,1.05,100.0,600,22.0,39.0,21.0,6.0,2.0,5.0,3.0,2.0,0.0,2.64,2.0,2.0,2.0,3.0
101.0,0.95,1.05,100.0,700,21.0,34.0,24.0,11.0,5.0,3.0,1.0,1.0,0.0,2.63,2.0,2.0,2.0,3.0
102.0,0.95,1.1,100.0,200,24.0,36.0,21.0,11.0,5.0,1.0,2.0,0.0,0.0,2.48,2.0,2.0,2.0,3.0
102.0,0.95,1.1,100.0,300,26.0,35.0,10.0,17.0,4.0,4.0,1.0,3.0,0.0,2.69,2.0,2.0,1.0,4.0
102.0,0.95,1.1,100.0,400,25.0,35.0,15.0,9.0,9.0,4.0,2.0,1.0,0.0,2.67,2.0,2.0,1.75,3.25
102.0,0.95,1.1,100.0,500,24.0,38.0,15.0,10.0,5.0,2.0,2.0,4.0,0.0,2.68,2.0,2.0,2.0,3.0
102.0,0.95,1.1,100.0,600,19.0,42.0,28.0,5.0,3.0,2.0,0.0,1.0,0.0,2.42,2.0,2.0,2.0,3.0
102.0,0.95,1.1,100.0,700,26.0,39.0,17.0,7.0,4.0,4.0,1.0,2.0,0.0,2.5,2.0,2.0,1.0,3.0
