ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
1129_01_01,1.294,0.886,100.0,200,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,3.5416666666666665,4.0,4.0,3.0,4.0
1129_01_01,1.294,0.886,100.0,300,0.0,0.0,25.0,11.0,3.0,1.0,1.0,0.0,0.0,3.5853658536585367,3.0,3.0,3.0,4.0
1129_01_01,1.294,0.886,100.0,400,0.0,0.0,23.0,12.0,6.0,2.0,0.0,0.0,0.0,3.697674418604651,3.0,3.0,3.0,4.0
1129_01_01,1.294,0.886,100.0,500,0.0,0.0,22.0,16.0,18.0,5.0,4.0,1.0,0.0,4.333333333333333,4.0,3.0,3.0,5.0
1129_01_01,1.294,0.886,100.0,600,0.0,0.0,25.0,17.0,9.0,4.0,2.0,3.0,0.0,4.166666666666667,4.0,3.0,3.0,5.0
1129_01_01,1.294,0.886,100.0,700,0.0,0.0,23.0,21.0,19.0,10.0,3.0,4.0,0.0,4.5125,4.0,3.0,3.0,5.0
1129_01_02,0.806,0.815,100.0,200,0.0,21.0,40.0,28.0,7.0,3.0,0.0,1.0,0.0,3.35,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,100.0,300,0.0,17.0,36.0,26.0,9.0,4.0,5.0,3.0,0.0,3.74,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,100.0,400,0.0,23.0,35.0,23.0,14.0,1.0,3.0,1.0,0.0,3.48,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,100.0,500,0.0,24.0,33.0,21.0,13.0,3.0,3.0,3.0,0.0,3.59,3.0,3.0,3.0,4.0
1129_01_02,0.806,0.815,100.0,600,0.0,25.0,38.0,17.0,13.0,2.0,0.0,5.0,0.0,3.49,3.0,3.0,2.75,4.0
1129_01_02,0.806,0.815,100.0,700,0.0,24.0,37.0,21.0,7.0,7.0,3.0,1.0,0.0,3.49,3.0,3.0,3.0,4.0
1129_01_05,2.015,1.088,100.0,300,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
1129_01_05,2.015,1.088,100.0,400,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
1129_01_05,2.015,1.088,100.0,500,0.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,3.588235294117647,4.0,4.0,3.0,4.0
1129_01_05,2.015,1.088,100.0,600,0.0,0.0,18.0,21.0,2.0,2.0,1.0,1.0,0.0,3.888888888888889,4.0,4.0,3.0,4.0
1129_01_05,2.015,1.088,100.0,700,0.0,0.0,11.0,18.0,3.0,1.0,1.0,0.0,0.0,3.911764705882353,4.0,4.0,3.0,4.0
1129_02_01,0.908,1.082,100.0,200,30.0,40.0,20.0,4.0,2.0,3.0,0.0,1.0,0.0,2.22,2.0,2.0,1.0,3.0
1129_02_01,0.908,1.082,100.0,300,12.0,45.0,22.0,10.0,8.0,2.0,1.0,0.0,0.0,2.67,2.0,2.0,2.0,3.0
1129_02_01,0.908,1.082,100.0,400,22.0,43.0,18.0,12.0,4.0,1.0,0.0,0.0,0.0,2.36,2.0,2.0,2.0,3.0
1129_02_01,0.908,1.082,100.0,500,25.0,31.0,23.0,13.0,2.0,3.0,2.0,1.0,0.0,2.58,2.0,2.0,1.75,3.0
1129_02_01,0.908,1.082,100.0,600,28.0,36.0,19.0,12.0,4.0,1.0,0.0,0.0,0.0,2.31,2.0,2.0,1.0,3.0
1129_02_01,0.908,1.082,100.0,700,21.0,38.0,15.0,13.0,9.0,2.0,1.0,1.0,0.0,2.66,2.0,2.0,2.0,4.0
1129_02_03,0.888,1.609,100.0,200,22.0,17.0,8.0,4.0,3.0,1.0,0.0,1.0,0.0,1.25,1.0,0.0,0.0,2.0
