index,ID,alpha,beta,n_simulation,initial_value,n_trials,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3,,,,,,,
1,1129_01_01,1.294,0.886,100,200,34,0,0,22,12,0,0,0,0,0,3.352941176,3,3,3,4,,subject,,,,,18
2,1129_01_01,1.294,0.886,100,300,57,0,0,30,13,8,5,0,1,0,3.859649123,3,3,3,4,,alpha,0.908,908,,,
3,1129_01_01,1.294,0.886,100,400,71,0,0,28,15,15,8,3,2,0,4.281690141,4,3,3,5,,beta,1.082,1082,,,
4,1129_01_01,1.294,0.886,100,500,83,0,0,22,28,10,13,3,7,0,4.614457831,4,4,3,6,,initial_value,200,,,,
5,1129_01_01,1.294,0.886,100,600,95,0,0,31,28,20,10,4,2,0,4.305263158,4,3,3,5,,,,,,,
6,1129_01_01,1.294,0.886,100,700,91,0,0,21,35,17,10,3,5,0,4.494505495,4,4,4,5,,trial_1,0,,,,
7,1129_01_02,0.806,0.815,100,200,100,0,22,39,16,12,2,4,5,0,3.65,3,3,3,4,,trial_2,51,,,,
8,1129_01_02,0.806,0.815,100,300,100,0,24,41,14,10,7,1,3,0,3.5,3,3,3,4,,trial_3,22,,,,
9,1129_01_02,0.806,0.815,100,400,100,0,32,34,14,11,6,1,2,0,3.36,3,3,2,4,,trial_4,9,,,,
10,1129_01_02,0.806,0.815,100,500,100,0,23,36,15,12,8,2,4,0,3.68,3,3,3,5,,trial_5,7,,,,
11,1129_01_02,0.806,0.815,100,600,100,0,31,36,17,12,3,1,0,0,3.23,3,3,2,4,,trial_6,8,,,,
12,1129_01_02,0.806,0.815,100,700,100,0,17,38,23,13,5,1,3,0,3.66,3,3,3,4,,trial_7,2,,,,
13,1129_01_05,2.015,1.088,100,300,13,0,0,0,13,0,0,0,0,0,4,4,4,4,4,,trial_8,1,,,,
14,1129_01_05,2.015,1.088,100,400,23,0,0,0,23,0,0,0,0,0,4,4,4,4,4,,trial_9,0,,,,
15,1129_01_05,2.015,1.088,100,500,40,0,0,16,20,3,1,0,0,0,3.725,4,4,3,4,,,,,,,
16,1129_01_05,2.015,1.088,100,600,46,0,0,17,21,3,1,1,3,0,4.065217391,4,4,3,4,,,,,,,
17,1129_01_05,2.015,1.088,100,700,60,0,0,21,27,8,3,0,1,0,3.95,4,4,3,4,,,,,,,
18,1129_02_01,0.908,1.082,100,200,100,0,51,22,9,7,8,2,1,0,3.09,2,2,2,4,,,,,,,
19,1129_02_01,0.908,1.082,100,300,100,0,51,23,14,3,4,2,3,0,3.04,2,2,2,4,,,,,,,
20,1129_02_01,0.908,1.082,100,400,100,0,53,22,16,6,1,0,2,0,2.88,2,2,2,3.25,,,,,,,
21,1129_02_01,0.908,1.082,100,500,100,0,46,25,16,9,2,1,1,0,3.03,3,2,2,4,,,,,,,
22,1129_02_01,0.908,1.082,100,600,100,0,45,28,11,8,1,3,4,0,3.17,3,2,2,4,,,,,,,
