Simulation,Trial
1.0,4.0
3.0,3.0
5.0,4.0
8.0,4.0
9.0,4.0
10.0,3.0
11.0,4.0
12.0,4.0
13.0,4.0
14.0,4.0
15.0,3.0
16.0,4.0
17.0,4.0
19.0,4.0
21.0,4.0
22.0,3.0
23.0,4.0
25.0,4.0
26.0,3.0
27.0,4.0
30.0,3.0
31.0,4.0
33.0,4.0
38.0,3.0
40.0,4.0
41.0,4.0
42.0,4.0
43.0,4.0
44.0,4.0
46.0,4.0
47.0,4.0
50.0,4.0
51.0,4.0
52.0,3.0
53.0,3.0
54.0,3.0
57.0,3.0
58.0,4.0
59.0,3.0
63.0,4.0
66.0,3.0
68.0,4.0
69.0,4.0
71.0,4.0
72.0,4.0
73.0,4.0
75.0,4.0
77.0,4.0
78.0,3.0
79.0,3.0
80.0,3.0
81.0,3.0
82.0,4.0
83.0,4.0
84.0,3.0
88.0,4.0
89.0,3.0
92.0,3.0
94.0,4.0
95.0,4.0
97.0,4.0
98.0,4.0
99.0,3.0
100.0,4.0
