Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
0.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,win,2100.0,
0.0,0.0,2.0,2450.0,-547.0,0.5303902206014364,0.2651951103007182,1.0,Conflict,bet,lose,503.0,
0.0,0.0,3.0,2702.0,-1553.0,0.6211250930221993,0.4347875651155395,1.0,Conflict,bet,lose,-1301.5,-1553
1.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
1.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,lose,672.0,
1.0,0.0,2.0,1736.0,-169.0,0.3042736284966893,0.15213681424834466,1.0,Conflict,bet,win,2072.0,
1.0,0.0,3.0,2772.0,-1694.0,0.647285811301817,0.45310006791127183,1.0,Conflict,bet,lose,-658.0,-1694
2.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,lose,700.0,
2.0,0.0,1.0,1050.0,-10.0,0.1352224975979214,0.04056674927937642,1.0,Conflict,bet,lose,340.0,
2.0,0.0,2.0,1220.0,-51.0,0.17225388300212185,0.08612694150106093,1.0,Conflict,bet,win,1390.0,
2.0,0.0,3.0,1915.0,-481.0,0.3564583998626425,0.24952087990384972,1.0,Conflict,bet,win,2610.0,
2.0,0.0,4.0,3220.0,-4793.0,0.824218076034479,0.7417962684310312,1.0,Conflict,bet,win,4525.0,
2.0,0.0,5.0,5482.0,-36600.0,1.9443716094819798,1.9443716094819798,1.0,Conflict,bet,win,7744.5,
2.0,0.0,6.0,9354.0,-275735.0,4.603512900133057,5.063864190146363,1.0,Conflict,bet,win,13226.25,
2.0,0.0,7.0,15967.0,-2419949.0,10.906109091065705,14.177941818385417,1.0,Conflict,bet,win,22580.125,
2.0,0.0,8.0,27257.0,-20196308.0,25.840250245546677,38.76037536832001,1.0,Conflict,bet,lose,22580.125,-20196308
3.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
3.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,lose,672.0,
3.0,0.0,2.0,1736.0,-169.0,0.3042736284966893,0.15213681424834466,1.0,Conflict,bet,lose,167.0,
3.0,0.0,3.0,1820.0,-405.0,0.3283717312277239,0.22986021185940672,1.0,Conflict,bet,lose,-321.5,-405
4.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,lose,700.0,
4.0,0.0,1.0,1050.0,-10.0,0.1352224975979214,0.04056674927937642,1.0,Conflict,bet,lose,340.0,
4.0,0.0,2.0,1220.0,-51.0,0.17225388300212185,0.08612694150106093,1.0,Conflict,bet,win,1390.0,
4.0,0.0,3.0,1915.0,-481.0,0.3564583998626425,0.24952087990384972,1.0,Conflict,bet,win,2610.0,
4.0,0.0,4.0,3220.0,-4793.0,0.824218076034479,0.7417962684310312,1.0,Conflict,bet,win,4525.0,
4.0,0.0,5.0,5482.0,-36600.0,1.9443716094819798,1.9443716094819798,1.0,Conflict,bet,win,7744.5,
4.0,0.0,6.0,9354.0,-275735.0,4.603512900133057,5.063864190146363,1.0,Conflict,bet,lose,-271862.75,-275735
5.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
5.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,lose,672.0,
5.0,0.0,2.0,1736.0,-169.0,0.3042736284966893,0.15213681424834466,1.0,Conflict,bet,lose,167.0,
5.0,0.0,3.0,1820.0,-405.0,0.3283717312277239,0.22986021185940672,1.0,Conflict,bet,win,1903.5,
5.0,0.0,4.0,2772.0,-2879.0,0.647285811301817,0.5825572301716353,1.0,Conflict,bet,win,3723.75,
5.0,0.0,5.0,4634.0,-20660.0,1.4827150278962646,1.4827150278962646,1.0,Conflict,bet,lose,-18798.125,-20660
6.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,lose,700.0,
6.0,0.0,1.0,1050.0,-10.0,0.1352224975979214,0.04056674927937642,1.0,Conflict,bet,lose,340.0,
6.0,0.0,2.0,1220.0,-51.0,0.17225388300212185,0.08612694150106093,1.0,Conflict,bet,lose,119.0,
6.0,0.0,3.0,1280.0,-122.0,0.18612310749268793,0.13028617524488154,1.0,Conflict,bet,lose,-62.5,-122
7.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
7.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,win,2100.0,
7.0,0.0,2.0,2450.0,-547.0,0.5303902206014364,0.2651951103007182,1.0,Conflict,bet,lose,503.0,
7.0,0.0,3.0,2702.0,-1553.0,0.6211250930221993,0.4347875651155395,1.0,Conflict,bet,win,2953.5,
7.0,0.0,4.0,4179.0,-11637.0,1.255048036139844,1.1295432325258596,1.0,Conflict,bet,lose,-10160.25,-11637
8.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
8.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,win,2100.0,
8.0,0.0,2.0,2450.0,-547.0,0.5303902206014364,0.2651951103007182,1.0,Conflict,bet,win,3500.0,
8.0,0.0,3.0,4200.0,-6966.0,1.2652365207425837,0.8856655645198086,1.0,Conflict,bet,win,5950.0,
8.0,0.0,4.0,7175.0,-73231.0,3.001313400007279,2.701182060006551,1.0,Conflict,bet,lose,-70256.0,-73231
9.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
9.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,lose,672.0,
9.0,0.0,2.0,1736.0,-169.0,0.3042736284966893,0.15213681424834466,1.0,Conflict,bet,win,2072.0,
9.0,0.0,3.0,2772.0,-1694.0,0.647285811301817,0.45310006791127183,1.0,Conflict,bet,win,3808.0,
9.0,0.0,4.0,4676.0,-17058.0,1.5044514815363799,1.354006333382742,1.0,Conflict,bet,lose,-15154.0,-17058
10.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,lose,700.0,
10.0,0.0,1.0,1050.0,-10.0,0.1352224975979214,0.04056674927937642,1.0,Conflict,bet,lose,340.0,
10.0,0.0,2.0,1220.0,-51.0,0.17225388300212185,0.08612694150106093,1.0,Conflict,bet,lose,119.0,
10.0,0.0,3.0,1280.0,-122.0,0.18612310749268793,0.13028617524488154,1.0,Conflict,bet,win,1339.5,
10.0,0.0,4.0,1950.0,-870.0,0.36702567152817434,0.3303231043753569,1.0,Conflict,bet,win,2619.75,
10.0,0.0,5.0,3260.0,-6243.0,0.8407959338124883,0.8407959338124883,1.0,Conflict,bet,lose,-4933.125,-6243
11.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,lose,700.0,
11.0,0.0,1.0,1050.0,-10.0,0.1352224975979214,0.04056674927937642,1.0,Conflict,bet,lose,340.0,
11.0,0.0,2.0,1220.0,-51.0,0.17225388300212185,0.08612694150106093,1.0,Conflict,bet,win,1390.0,
11.0,0.0,3.0,1915.0,-481.0,0.3564583998626425,0.24952087990384972,1.0,Conflict,bet,lose,214.0,
11.0,0.0,4.0,2022.0,-984.0,0.3891308034827022,0.35021772313443195,1.0,Conflict,bet,lose,-877.0,-984
12.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
12.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,win,2100.0,
12.0,0.0,2.0,2450.0,-547.0,0.5303902206014364,0.2651951103007182,1.0,Conflict,bet,lose,503.0,
12.0,0.0,3.0,2702.0,-1553.0,0.6211250930221993,0.4347875651155395,1.0,Conflict,bet,win,2953.5,
12.0,0.0,4.0,4179.0,-11637.0,1.255048036139844,1.1295432325258596,1.0,Conflict,bet,win,5655.75,
12.0,0.0,5.0,7007.0,-84375.0,2.8887763460592324,2.8887763460592324,1.0,Conflict,bet,win,9834.875,
12.0,0.0,6.0,11924.0,-629864.0,6.809876677186059,7.490864344904666,1.0,Conflict,bet,lose,-624946.5625,-629864
13.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
13.0,0.0,1.0,1400.0,-28.0,0.21506767262158713,0.06452030178647614,1.0,Conflict,bet,lose,672.0,
13.0,0.0,2.0,1736.0,-169.0,0.3042736284966893,0.15213681424834466,1.0,Conflict,bet,win,2072.0,
13.0,0.0,3.0,2772.0,-1694.0,0.647285811301817,0.45310006791127183,1.0,Conflict,bet,win,3808.0,
13.0,0.0,4.0,4676.0,-17058.0,1.5044514815363799,1.354006333382742,1.0,Conflict,bet,lose,-15154.0,-17058
14.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,lose,700.0,
14.0,0.0,1.0,1050.0,-10.0,0.1352224975979214,0.04056674927937642,1.0,Conflict,bet,lose,340.0,
14.0,0.0,2.0,1220.0,-51.0,0.17225388300212185,0.08612694150106093,1.0,Conflict,bet,win,1390.0,
14.0,0.0,3.0,1915.0,-481.0,0.3564583998626425,0.24952087990384972,1.0,Conflict,bet,lose,214.0,
14.0,0.0,4.0,2022.0,-984.0,0.3891308034827022,0.35021772313443195,1.0,Conflict,bet,win,2129.0,
14.0,0.0,5.0,3086.0,-5180.0,0.7696020849007953,0.7696020849007953,1.0,Conflict,bet,lose,-4115.5,-5180
15.0,0.0,0.0,700.0,0.0,0.07030945837093326,0.007030945837093326,1.0,Not_conflict,bet,win,1400.0,
