Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
0.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,lose,128.0,
0.0,0.0,2.0,512.0,-37.0,0.02223115469131801,0.011115577345659005,1.0,Conflict,bet,win,576.0,
0.0,0.0,3.0,800.0,-106.0,0.06561083784987426,0.04592758649491198,1.0,Conflict,bet,win,1088.0,
0.0,0.0,4.0,1344.0,-323.0,0.23086101030913467,0.2077749092782212,1.0,Conflict,bet,lose,221.0,
0.0,0.0,5.0,1454.0,-401.0,0.2793836913082857,0.2793836913082857,1.0,Not-conflict,bet,lose,-290.5,-401
1.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
1.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,win,596.0,
1.0,0.0,2.0,746.0,-73.0,0.055382686913761976,0.027691343456880988,1.0,Conflict,bet,lose,225.0,
1.0,0.0,3.0,858.0,-120.0,0.07774796640028266,0.054423576480197855,1.0,Conflict,bet,win,970.5,
1.0,0.0,4.0,1343.0,-322.0,0.23044468501732301,0.2074002165155907,1.0,Conflict,bet,win,1828.25,
1.0,0.0,5.0,2257.0,-879.0,0.8115147091092154,0.8115147091092154,1.0,Conflict,bet,lose,35.125,
1.0,0.0,6.0,2275.0,-956.0,0.8272985491224143,0.9100284040346558,1.0,Conflict,bet,win,2292.5625,
1.0,0.0,7.0,3421.0,-2239.0,2.224864518993142,2.8923238746910847,1.0,Conflict,bet,win,4567.28125,
1.0,0.0,8.0,5705.0,-6197.0,7.689574581005538,11.534361871508308,1.0,Conflict,bet,lose,4567.28125,-6197
2.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
2.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,win,596.0,
2.0,0.0,2.0,746.0,-73.0,0.055382686913761976,0.027691343456880988,1.0,Conflict,bet,win,1044.0,
2.0,0.0,3.0,1268.0,-242.0,0.20046869125338854,0.14032808387737197,1.0,Conflict,bet,lose,280.0,
2.0,0.0,4.0,1408.0,-350.0,0.2584305210305616,0.23258746892750543,1.0,Conflict,bet,lose,-210.0,-350
3.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
3.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,lose,128.0,
3.0,0.0,2.0,512.0,-37.0,0.02223115469131801,0.011115577345659005,1.0,Conflict,bet,win,576.0,
3.0,0.0,3.0,800.0,-106.0,0.06561083784987426,0.04592758649491198,1.0,Conflict,bet,win,1088.0,
3.0,0.0,4.0,1344.0,-323.0,0.23086101030913467,0.2077749092782212,1.0,Conflict,bet,lose,221.0,
3.0,0.0,5.0,1454.0,-401.0,0.2793836913082857,0.2793836913082857,1.0,Not-conflict,bet,lose,-290.5,-401
4.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,win,600.0,
4.0,0.0,1.0,600.0,-34.0,0.032658719106203216,0.009797615731860965,1.0,Conflict,bet,win,900.0,
4.0,0.0,2.0,1050.0,-135.0,0.12687218387342034,0.06343609193671017,1.0,Conflict,bet,win,1500.0,
4.0,0.0,3.0,1800.0,-452.0,0.4688330185086281,0.32818311295603964,1.0,Conflict,bet,win,2550.0,
4.0,0.0,4.0,3075.0,-1412.0,1.7179352126496954,1.546141691384726,1.0,Conflict,bet,lose,-137.0,-1412
5.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,win,600.0,
5.0,0.0,1.0,600.0,-34.0,0.032658719106203216,0.009797615731860965,1.0,Conflict,bet,lose,266.0,
5.0,0.0,2.0,733.0,-71.0,0.05307127284990788,0.02653563642495394,1.0,Conflict,bet,win,866.0,
5.0,0.0,3.0,1166.0,-208.0,0.16357854844439912,0.11450498391107937,1.0,Conflict,bet,lose,225.0,
5.0,0.0,4.0,1278.0,-295.0,0.20432414289045936,0.18389172860141342,1.0,Conflict,bet,win,1390.5,
5.0,0.0,5.0,1973.0,-691.0,0.5856869494870393,0.5856869494870393,1.0,Conflict,bet,win,2668.25,
5.0,0.0,6.0,3307.0,-1864.0,2.0493224039113644,2.254254644302501,1.0,Conflict,bet,win,4641.125,
5.0,0.0,7.0,5628.0,-5444.0,7.440309995743783,9.672402994466918,1.0,Conflict,bet,win,7948.5625,
5.0,0.0,8.0,9602.0,-15691.0,27.177499206494158,40.766248809741235,1.0,Conflict,bet,lose,7948.5625,-15691
6.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,win,600.0,
6.0,0.0,1.0,600.0,-34.0,0.032658719106203216,0.009797615731860965,1.0,Conflict,bet,lose,266.0,
6.0,0.0,2.0,733.0,-71.0,0.05307127284990788,0.02653563642495394,1.0,Conflict,bet,win,866.0,
6.0,0.0,3.0,1166.0,-208.0,0.16357854844439912,0.11450498391107937,1.0,Conflict,bet,lose,225.0,
6.0,0.0,4.0,1278.0,-295.0,0.20432414289045936,0.18389172860141342,1.0,Conflict,bet,win,1390.5,
6.0,0.0,5.0,1973.0,-691.0,0.5856869494870393,0.5856869494870393,1.0,Conflict,bet,win,2668.25,
6.0,0.0,6.0,3307.0,-1864.0,2.0493224039113644,2.254254644302501,1.0,Conflict,bet,win,4641.125,
6.0,0.0,7.0,5628.0,-5444.0,7.440309995743783,9.672402994466918,1.0,Conflict,bet,win,7948.5625,
6.0,0.0,8.0,9602.0,-15691.0,27.177499206494158,40.766248809741235,1.0,Conflict,bet,win,7948.5625,9602
7.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
7.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,lose,128.0,
7.0,0.0,2.0,512.0,-37.0,0.02223115469131801,0.011115577345659005,1.0,Conflict,bet,win,576.0,
7.0,0.0,3.0,800.0,-106.0,0.06561083784987426,0.04592758649491198,1.0,Conflict,bet,win,1088.0,
7.0,0.0,4.0,1344.0,-323.0,0.23086101030913467,0.2077749092782212,1.0,Conflict,bet,lose,221.0,
7.0,0.0,5.0,1454.0,-401.0,0.2793836913082857,0.2793836913082857,1.0,Not-conflict,bet,lose,-290.5,-401
8.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
8.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,lose,128.0,
8.0,0.0,2.0,512.0,-37.0,0.02223115469131801,0.011115577345659005,1.0,Conflict,bet,win,576.0,
8.0,0.0,3.0,800.0,-106.0,0.06561083784987426,0.04592758649491198,1.0,Conflict,bet,win,1088.0,
8.0,0.0,4.0,1344.0,-323.0,0.23086101030913467,0.2077749092782212,1.0,Conflict,bet,lose,221.0,
8.0,0.0,5.0,1454.0,-401.0,0.2793836913082857,0.2793836913082857,1.0,Not-conflict,bet,lose,-290.5,-401
9.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,win,600.0,
9.0,0.0,1.0,600.0,-34.0,0.032658719106203216,0.009797615731860965,1.0,Conflict,bet,lose,266.0,
9.0,0.0,2.0,733.0,-71.0,0.05307127284990788,0.02653563642495394,1.0,Conflict,bet,lose,62.0,
9.0,0.0,3.0,764.0,-98.0,0.058679142649778616,0.04107539985484503,1.0,Conflict,bet,lose,-67.0,-98
10.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
10.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,lose,128.0,
10.0,0.0,2.0,512.0,-37.0,0.02223115469131801,0.011115577345659005,1.0,Conflict,bet,win,576.0,
10.0,0.0,3.0,800.0,-106.0,0.06561083784987426,0.04592758649491198,1.0,Conflict,bet,win,1088.0,
10.0,0.0,4.0,1344.0,-323.0,0.23086101030913467,0.2077749092782212,1.0,Conflict,bet,lose,221.0,
10.0,0.0,5.0,1454.0,-401.0,0.2793836913082857,0.2793836913082857,1.0,Not-conflict,bet,win,1564.5,
10.0,0.0,6.0,2236.0,-927.0,0.7933256173751848,0.8726581791127034,1.0,Conflict,bet,lose,-144.75,-927
11.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,win,600.0,
11.0,0.0,1.0,600.0,-34.0,0.032658719106203216,0.009797615731860965,1.0,Conflict,bet,lose,266.0,
11.0,0.0,2.0,733.0,-71.0,0.05307127284990788,0.02653563642495394,1.0,Conflict,bet,win,866.0,
11.0,0.0,3.0,1166.0,-208.0,0.16357854844439912,0.11450498391107937,1.0,Conflict,bet,lose,225.0,
11.0,0.0,4.0,1278.0,-295.0,0.20432414289045936,0.18389172860141342,1.0,Conflict,bet,lose,-182.5,-295
12.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,win,600.0,
12.0,0.0,1.0,600.0,-34.0,0.032658719106203216,0.009797615731860965,1.0,Conflict,bet,lose,266.0,
12.0,0.0,2.0,733.0,-71.0,0.05307127284990788,0.02653563642495394,1.0,Conflict,bet,win,866.0,
12.0,0.0,3.0,1166.0,-208.0,0.16357854844439912,0.11450498391107937,1.0,Conflict,bet,win,1599.0,
12.0,0.0,4.0,1966.0,-636.0,0.5806606360716692,0.5225945724645022,1.0,Conflict,bet,lose,163.5,
12.0,0.0,5.0,2048.0,-739.0,0.6411468303975449,0.6411468303975449,1.0,Conflict,bet,win,2129.75,
12.0,0.0,6.0,3113.0,-1674.0,1.7698714877774504,1.9468586365551956,1.0,Conflict,bet,win,4177.875,
12.0,0.0,7.0,5202.0,-4731.0,6.147456422470155,7.991693349211202,1.0,Conflict,bet,win,7290.9375,
12.0,0.0,8.0,8847.0,-13557.0,22.28243926306673,33.423658894600095,1.0,Conflict,bet,win,7290.9375,8847
13.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
13.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,win,596.0,
13.0,0.0,2.0,746.0,-73.0,0.055382686913761976,0.027691343456880988,1.0,Conflict,bet,lose,225.0,
13.0,0.0,3.0,858.0,-120.0,0.07774796640028266,0.054423576480197855,1.0,Conflict,bet,win,970.5,
13.0,0.0,4.0,1343.0,-322.0,0.23044468501732301,0.2074002165155907,1.0,Conflict,bet,win,1828.25,
13.0,0.0,5.0,2257.0,-879.0,0.8115147091092154,0.8115147091092154,1.0,Conflict,bet,lose,35.125,
13.0,0.0,6.0,2275.0,-956.0,0.8272985491224143,0.9100284040346558,1.0,Conflict,bet,lose,-938.4375,-956
14.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
14.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,win,596.0,
14.0,0.0,2.0,746.0,-73.0,0.055382686913761976,0.027691343456880988,1.0,Conflict,bet,lose,225.0,
14.0,0.0,3.0,858.0,-120.0,0.07774796640028266,0.054423576480197855,1.0,Conflict,bet,lose,-7.5,-120
15.0,0.0,0.0,300.0,-4.0,0.006081369728370718,0.0006081369728370718,1.0,Conflict,bet,lose,296.0,
15.0,0.0,1.0,448.0,-20.0,0.01608168492962396,0.0048245054788871875,1.0,Conflict,bet,lose,128.0,
15.0,0.0,2.0,512.0,-37.0,0.02223115469131801,0.011115577345659005,1.0,Conflict,bet,win,576.0,
15.0,0.0,3.0,800.0,-106.0,0.06561083784987426,0.04592758649491198,1.0,Conflict,bet,win,1088.0,
15.0,0.0,4.0,1344.0,-323.0,0.23086101030913467,0.2077749092782212,1.0,Conflict,bet,win,1888.0,
15.0,0.0,5.0,2288.0,-901.0,0.838809255889968,0.838809255889968,1.0,Conflict,bet,lose,43.0,
15.0,0.0,6.0,2310.0,-983.0,0.8585022080854232,0.9443524288939656,1.0,Conflict,bet,win,2331.5,
15.0,0.0,7.0,3476.0,-2304.0,2.312601495385564,3.0063819440012334,1.0,Conflict,bet,lose,-1138.25,-2304
