Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,400.0,-16.0,0.05185680903774954,0.005185680903774955,1.0,Conflict,bet,lose,784.0,
0.0,0.0,1.0,792.0,-89.0,0.08520819835260769,0.025562459505782308,1.0,Conflict,bet,win,1184.0,
0.0,0.0,2.0,1384.0,-237.0,0.1278539391724546,0.0639269695862273,1.0,Conflict,bet,lose,355.0,
0.0,0.0,3.0,1562.0,-373.0,0.1396092789654544,0.09772649527581806,1.0,Conflict,bet,win,1739.5,
0.0,0.0,4.0,2432.0,-687.0,0.19262102584746094,0.17335892326271485,1.0,Conflict,bet,win,3301.75,
0.0,0.0,5.0,4083.0,-1148.0,0.2807308785787715,0.2807308785787715,1.0,Not-conflict,bet,lose,502.875,
0.0,0.0,6.0,4334.0,-1330.0,0.2931746470731054,0.322492111780416,1.0,Conflict,bet,lose,-1078.5625,-1330
1.0,0.0,0.0,400.0,-16.0,0.05185680903774954,0.005185680903774955,1.0,Conflict,bet,lose,784.0,
1.0,0.0,1.0,792.0,-89.0,0.08520819835260769,0.025562459505782308,1.0,Conflict,bet,lose,303.0,
1.0,0.0,2.0,944.0,-177.0,0.09680834942375956,0.04840417471187978,1.0,Conflict,bet,win,1095.5,
1.0,0.0,3.0,1492.0,-360.0,0.13503243836607481,0.09452270685625236,1.0,Conflict,bet,lose,187.75,
1.0,0.0,4.0,1586.0,-493.0,0.14116550615782486,0.12704895554204237,1.0,Conflict,bet,lose,-399.125,-493
2.0,0.0,0.0,400.0,-16.0,0.05185680903774954,0.005185680903774955,1.0,Conflict,bet,win,1200.0,
2.0,0.0,1.0,1000.0,-107.0,0.10095043057426205,0.030285129172278612,1.0,Conflict,bet,lose,493.0,
2.0,0.0,2.0,1246.0,-219.0,0.11845401682291823,0.059227008411459114,1.0,Conflict,bet,win,1492.5,
2.0,0.0,3.0,1992.0,-450.0,0.1666063390758467,0.11662443735309269,1.0,Conflict,bet,win,2738.25,
2.0,0.0,4.0,3361.0,-882.0,0.24369733741602814,0.21932760367442533,1.0,Conflict,bet,lose,487.125,
2.0,0.0,5.0,3605.0,-1042.0,0.25643559393178555,0.25643559393178555,1.0,Not-conflict,bet,lose,-798.4375,-1042
3.0,0.0,0.0,400.0,-16.0,0.05185680903774954,0.005185680903774955,1.0,Conflict,bet,win,1200.0,
