Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,200.0,-10.0,0.00762298101375815,0.0007622981013758151,1.0,Conflict,bet,lose,390.0,
0.0,0.0,1.0,395.0,-52.0,0.016492934318691286,0.004947880295607386,1.0,Conflict,bet,win,590.0,
0.0,0.0,2.0,690.0,-145.0,0.031046431689858357,0.015523215844929179,1.0,Conflict,bet,lose,150.0,
0.0,0.0,3.0,765.0,-218.0,0.03490027832987512,0.024430194830912584,1.0,Conflict,bet,lose,-143.0,-218
1.0,0.0,0.0,200.0,-10.0,0.00762298101375815,0.0007622981013758151,1.0,Conflict,bet,win,600.0,
1.0,0.0,1.0,500.0,-66.0,0.0215470990426079,0.0064641297127823695,1.0,Conflict,bet,lose,234.0,
1.0,0.0,2.0,617.0,-129.0,0.027348921143806847,0.013674460571903423,1.0,Conflict,bet,win,734.0,
1.0,0.0,3.0,984.0,-281.0,0.04643155886284543,0.0325020912039918,1.0,Conflict,bet,win,1351.0,
1.0,0.0,4.0,1660.0,-601.0,0.08401549584177885,0.07561394625760097,1.0,Conflict,bet,win,2335.5,
1.0,0.0,5.0,2828.0,-1137.0,0.15372144860651749,0.15372144860651749,1.0,Conflict,bet,lose,30.75,
1.0,0.0,6.0,2843.0,-1245.0,0.15464638837182196,0.17011102720900417,1.0,Conflict,bet,lose,-1229.625,-1245
2.0,0.0,0.0,200.0,-10.0,0.00762298101375815,0.0007622981013758151,1.0,Conflict,bet,win,600.0,
2.0,0.0,1.0,500.0,-66.0,0.0215470990426079,0.0064641297127823695,1.0,Conflict,bet,win,800.0,
2.0,0.0,2.0,900.0,-190.0,0.04196312558114978,0.02098156279057489,1.0,Conflict,bet,lose,210.0,
2.0,0.0,3.0,1005.0,-288.0,0.047556856164476594,0.033289799315133616,1.0,Conflict,bet,lose,-183.0,-288
3.0,0.0,0.0,200.0,-10.0,0.00762298101375815,0.0007622981013758151,1.0,Conflict,bet,lose,390.0,
3.0,0.0,1.0,395.0,-52.0,0.016492934318691286,0.004947880295607386,1.0,Conflict,bet,lose,143.0,
3.0,0.0,2.0,466.0,-97.0,0.01989328261646725,0.009946641308233625,1.0,Conflict,bet,win,537.5,
3.0,0.0,3.0,735.0,-209.0,0.0333523673480952,0.023346657143666637,1.0,Conflict,bet,win,1003.75,
3.0,0.0,4.0,1237.0,-445.0,0.0601871892780232,0.054168470350220876,1.0,Conflict,bet,lose,56.875,
3.0,0.0,5.0,1265.0,-501.0,0.06173443516332022,0.06173443516332022,1.0,Conflict,bet,win,1293.4375,
3.0,0.0,6.0,1912.0,-831.0,0.09861979329709815,0.10848177262680797,1.0,Conflict,bet,win,2558.71875,
3.0,0.0,7.0,3191.0,-1627.0,0.1762827508551896,0.22916757611174648,1.0,Conflict,bet,win,4470.359375,
3.0,0.0,8.0,5426.0,-3179.0,0.32185251285269506,0.4827787692790426,1.0,Conflict,bet,win,4470.359375,5426
4.0,0.0,0.0,200.0,-10.0,0.00762298101375815,0.0007622981013758151,1.0,Conflict,bet,lose,390.0,
4.0,0.0,1.0,395.0,-52.0,0.016492934318691286,0.004947880295607386,1.0,Conflict,bet,win,590.0,
4.0,0.0,2.0,690.0,-145.0,0.031046431689858357,0.015523215844929179,1.0,Conflict,bet,win,985.0,
4.0,0.0,3.0,1182.0,-339.0,0.05716168750912679,0.04001318125638875,1.0,Conflict,bet,lose,153.5,
4.0,0.0,4.0,1259.0,-453.0,0.061402492530696906,0.055262243277627215,1.0,Conflict,bet,win,1335.75,
4.0,0.0,5.0,1927.0,-769.0,0.09949761884450993,0.09949761884450993,1.0,Conflict,bet,win,2594.875,
4.0,0.0,6.0,3224.0,-1415.0,0.17835150998756866,0.19618666098632553,1.0,Conflict,bet,win,4521.4375,
