Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
0.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
0.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
0.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,win,1159.875,
0.0,0.0,4.0,1402.0,-4062.0,346.278595214567,311.65073569311033,1.0,Conflict,bet,lose,-3482.0625,-4062
1.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
1.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,lose,8.0,
1.0,0.0,2.0,404.0,-406.0,126.8673188036967,63.43365940184835,1.0,Conflict,bet,win,408.0,
1.0,0.0,3.0,608.0,-1064.0,176.4453381864887,123.51173673054208,1.0,Conflict,bet,win,812.0,
1.0,0.0,4.0,1014.0,-2783.0,266.60766402446086,239.94689762201477,1.0,Conflict,bet,lose,-2377.0,-2783
2.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
2.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,win,600.0,
2.0,0.0,2.0,700.0,-771.0,197.69428659278194,98.84714329639097,1.0,Conflict,bet,win,1000.0,
2.0,0.0,3.0,1200.0,-2355.0,305.42126075995225,213.79488253196655,1.0,Conflict,bet,win,1700.0,
2.0,0.0,4.0,2050.0,-6331.0,470.5278846255288,423.47509616297594,1.0,Conflict,bet,win,2900.0,
2.0,0.0,5.0,3500.0,-13773.0,724.5409092893296,724.5409092893296,1.0,Conflict,bet,win,4950.0,
2.0,0.0,6.0,5975.0,-29525.0,1115.5902065520788,1227.149227207287,1.0,Conflict,bet,lose,-27050.0,-29525
3.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
3.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,lose,8.0,
3.0,0.0,2.0,404.0,-406.0,126.8673188036967,63.43365940184835,1.0,Conflict,bet,win,408.0,
3.0,0.0,3.0,608.0,-1064.0,176.4453381864887,123.51173673054208,1.0,Conflict,bet,lose,-860.0,-1064
4.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
4.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
4.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,lose,-309.25,-501
5.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
5.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,lose,8.0,
5.0,0.0,2.0,404.0,-406.0,126.8673188036967,63.43365940184835,1.0,Conflict,bet,lose,-402.0,-406
6.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
6.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,win,600.0,
6.0,0.0,2.0,700.0,-771.0,197.69428659278194,98.84714329639097,1.0,Conflict,bet,win,1000.0,
6.0,0.0,3.0,1200.0,-2355.0,305.42126075995225,213.79488253196655,1.0,Conflict,bet,win,1700.0,
6.0,0.0,4.0,2050.0,-6331.0,470.5278846255288,423.47509616297594,1.0,Conflict,bet,lose,-5481.0,-6331
7.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
7.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,lose,-41.5,-133
8.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
8.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
8.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
8.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,lose,-1176.125,-1514
9.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
9.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
9.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,lose,-309.25,-501
10.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
10.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
10.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
10.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,lose,-1176.125,-1514
11.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
11.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,win,600.0,
11.0,0.0,2.0,700.0,-771.0,197.69428659278194,98.84714329639097,1.0,Conflict,bet,lose,-471.0,-771
12.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
12.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
12.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
12.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,lose,-1176.125,-1514
13.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
13.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,lose,-41.5,-133
14.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
14.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,win,600.0,
14.0,0.0,2.0,700.0,-771.0,197.69428659278194,98.84714329639097,1.0,Conflict,bet,win,1000.0,
14.0,0.0,3.0,1200.0,-2355.0,305.42126075995225,213.79488253196655,1.0,Conflict,bet,win,1700.0,
14.0,0.0,4.0,2050.0,-6331.0,470.5278846255288,423.47509616297594,1.0,Conflict,bet,win,2900.0,
14.0,0.0,5.0,3500.0,-13773.0,724.5409092893296,724.5409092893296,1.0,Conflict,bet,lose,-12323.0,-13773
15.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
15.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
15.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
15.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,lose,-1176.125,-1514
16.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
16.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,win,600.0,
16.0,0.0,2.0,700.0,-771.0,197.69428659278194,98.84714329639097,1.0,Conflict,bet,win,1000.0,
16.0,0.0,3.0,1200.0,-2355.0,305.42126075995225,213.79488253196655,1.0,Conflict,bet,lose,-1855.0,-2355
17.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
17.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
17.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
17.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,lose,-1176.125,-1514
18.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
18.0,0.0,1.0,400.0,-192.0,125.85266401279243,37.755799203837725,1.0,Conflict,bet,lose,8.0,
18.0,0.0,2.0,404.0,-406.0,126.8673188036967,63.43365940184835,1.0,Conflict,bet,win,408.0,
18.0,0.0,3.0,608.0,-1064.0,176.4453381864887,123.51173673054208,1.0,Conflict,bet,win,812.0,
18.0,0.0,4.0,1014.0,-2783.0,266.60766402446086,239.94689762201477,1.0,Conflict,bet,lose,-2377.0,-2783
19.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,lose,183.0,
19.0,0.0,1.0,292.0,-133.0,97.62565509237048,29.28769652771114,1.0,Conflict,bet,win,383.5,
19.0,0.0,2.0,484.0,-501.0,146.78112325342573,73.39056162671287,1.0,Conflict,bet,win,675.75,
19.0,0.0,3.0,822.0,-1514.0,225.0616801891105,157.54317613237734,1.0,Conflict,bet,win,1159.875,
19.0,0.0,4.0,1402.0,-4062.0,346.278595214567,311.65073569311033,1.0,Conflict,bet,lose,-3482.0625,-4062
20.0,0.0,0.0,200.0,-17.0,71.93350242350274,7.193350242350275,1.0,Conflict,bet,win,400.0,
