Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,win,800.0,
0.0,0.0,1.0,800.0,-212.0,714.0645242093556,214.21935726280665,1.0,Conflict,bet,lose,188.0,
0.0,0.0,2.0,894.0,-394.0,796.4614882806834,398.2307441403417,1.0,Conflict,bet,lose,-300.0,-394
1.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,win,800.0,
1.0,0.0,1.0,800.0,-212.0,714.0645242093556,214.21935726280665,1.0,Conflict,bet,win,1200.0,
1.0,0.0,2.0,1400.0,-611.0,1237.7811342557104,618.8905671278552,1.0,Conflict,bet,win,2000.0,
1.0,0.0,3.0,2400.0,-1451.0,2102.556381840063,1471.7894672880439,1.0,Conflict,bet,lose,-451.0,-1451
2.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,lose,364.0,
2.0,0.0,1.0,582.0,-155.0,522.2991197569307,156.68973592707923,1.0,Conflict,bet,win,764.0,
2.0,0.0,2.0,964.0,-424.0,857.7243200901781,428.86216004508907,1.0,Conflict,bet,lose,-42.0,-424
3.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,lose,364.0,
3.0,0.0,1.0,582.0,-155.0,522.2991197569307,156.68973592707923,1.0,Conflict,bet,lose,27.0,
3.0,0.0,2.0,596.0,-264.0,534.6469249814367,267.3234624907183,1.0,Conflict,bet,lose,-250.5,-264
4.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,win,800.0,
4.0,0.0,1.0,800.0,-212.0,714.0645242093556,214.21935726280665,1.0,Conflict,bet,win,1200.0,
4.0,0.0,2.0,1400.0,-611.0,1237.7811342557104,618.8905671278552,1.0,Conflict,bet,lose,-11.0,-611
5.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,lose,364.0,
5.0,0.0,1.0,582.0,-155.0,522.2991197569307,156.68973592707923,1.0,Conflict,bet,win,764.0,
5.0,0.0,2.0,964.0,-424.0,857.7243200901781,428.86216004508907,1.0,Conflict,bet,win,1346.0,
5.0,0.0,3.0,1637.0,-997.0,1443.476945255779,1010.4338616790452,1.0,Conflict,bet,win,2310.0,
5.0,0.0,4.0,2792.0,-2162.0,2439.6911563176386,2195.7220406858746,1.0,Conflict,bet,lose,-1007.0,-2162
6.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,lose,364.0,
6.0,0.0,1.0,582.0,-155.0,522.2991197569307,156.68973592707923,1.0,Conflict,bet,lose,27.0,
6.0,0.0,2.0,596.0,-264.0,534.6469249814367,267.3234624907183,1.0,Conflict,bet,lose,-250.5,-264
7.0,0.0,0.0,400.0,-36.0,361.26423728050366,36.12642372805037,1.0,Conflict,bet,lose,364.0,
7.0,0.0,1.0,582.0,-155.0,522.2991197569307,156.68973592707923,1.0,Conflict,bet,lose,27.0,
7.0,0.0,2.0,596.0,-264.0,534.6469249814367,267.3234624907183,1.0,Conflict,bet,lose,-250.5,-264
