Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
0.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,lose,884.0,
0.0,0.0,2.0,1942.0,-31.0,59.65606205051628,29.82803102525814,1.0,Conflict,bet,win,2384.0,
0.0,0.0,3.0,3134.0,-57.0,77.24910487828635,54.07437341480044,1.0,Conflict,bet,win,4326.0,
0.0,0.0,4.0,5297.0,-98.0,102.55956859884971,92.30361173896473,1.0,Conflict,bet,win,7460.0,
0.0,0.0,5.0,9027.0,-146.0,136.7708225875227,136.7708225875227,1.0,Not-conflict,bet,win,12757.0,
0.0,0.0,6.0,15406.0,-215.0,182.53768673712307,200.7914554108354,1.0,Conflict,bet,lose,6163.5,
0.0,0.0,7.0,18488.0,-282.0,201.4283353017257,261.8568358922434,1.0,Conflict,bet,win,21569.75,
0.0,0.0,8.0,29273.0,-419.0,258.16199331835986,387.24298997753976,1.0,Conflict,bet,lose,21569.75,-419
1.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,lose,1197.0,
1.0,0.0,1.0,1198.0,-14.0,45.95858847536695,13.787576542610084,1.0,Conflict,bet,lose,584.5,
1.0,0.0,2.0,1490.0,-27.0,51.70357641499537,25.851788207497684,1.0,Conflict,bet,win,1782.25,
1.0,0.0,3.0,2381.0,-49.0,66.59629578148316,46.61740704703821,1.0,Conflict,bet,win,3272.125,
1.0,0.0,4.0,4017.0,-84.0,88.32974753528732,79.4967727817586,1.0,Conflict,bet,win,5653.0625,
1.0,0.0,5.0,6844.0,-125.0,117.77887466342219,117.77887466342219,1.0,Not-conflict,bet,win,9670.53125,
1.0,0.0,6.0,11679.0,-185.0,157.1806410053008,172.89870510583089,1.0,Conflict,bet,lose,4650.265625,
1.0,0.0,7.0,14004.0,-242.0,173.37087262931178,225.38213441810532,1.0,Conflict,bet,lose,2083.1328125,
1.0,0.0,8.0,15046.0,-291.0,180.2218199460811,270.3327299191217,1.0,Conflict,bet,win,2083.1328125,15046
2.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,lose,1197.0,
2.0,0.0,1.0,1198.0,-14.0,45.95858847536695,13.787576542610084,1.0,Conflict,bet,win,1796.5,
2.0,0.0,2.0,2096.0,-33.0,62.165766134461535,31.082883067230767,1.0,Conflict,bet,win,2994.25,
2.0,0.0,3.0,3593.0,-61.0,83.16620746466783,58.21634522526748,1.0,Conflict,bet,win,5090.125,
2.0,0.0,4.0,6138.0,-106.0,111.05407968065099,99.94867171258589,1.0,Conflict,bet,lose,2439.0625,
2.0,0.0,5.0,7358.0,-130.0,122.4757994868691,122.4757994868691,1.0,Not-conflict,bet,lose,1089.53125,
2.0,0.0,6.0,7903.0,-149.0,127.29392278798613,140.02331506678476,1.0,Conflict,bet,win,8447.765625,
2.0,0.0,7.0,12127.0,-224.0,160.40829544843103,208.53078408296034,1.0,Conflict,bet,win,16350.8828125,
2.0,0.0,8.0,20302.0,-343.0,211.87073083194466,317.80609624791697,1.0,Conflict,bet,win,16350.8828125,20302
3.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
3.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,lose,884.0,
3.0,0.0,2.0,1942.0,-31.0,59.65606205051628,29.82803102525814,1.0,Conflict,bet,lose,411.0,
3.0,0.0,3.0,2148.0,-46.0,62.993901872978896,44.095731311085224,1.0,Conflict,bet,lose,159.5,
3.0,0.0,4.0,2228.0,-61.0,64.25015810596138,57.82514229536524,1.0,Conflict,bet,win,2307.75,
3.0,0.0,5.0,3382.0,-85.0,80.49219038823306,80.49219038823306,1.0,Not-conflict,bet,win,4535.875,
3.0,0.0,6.0,5650.0,-124.0,106.1955116822635,116.81506285048987,1.0,Conflict,bet,win,7917.9375,
3.0,0.0,7.0,9609.0,-197.0,141.46409462771305,183.90332301602697,1.0,Conflict,bet,win,13567.96875,
3.0,0.0,8.0,16393.0,-305.0,188.76242890231183,283.1436433534677,1.0,Conflict,bet,lose,13567.96875,-305
4.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
4.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,win,2400.0,
4.0,0.0,2.0,2700.0,-37.0,71.27486980044932,35.63743490022466,1.0,Conflict,bet,lose,1163.0,
4.0,0.0,3.0,3282.0,-58.0,79.19811251784611,55.43867876249227,1.0,Conflict,bet,win,3863.5,
4.0,0.0,4.0,5214.0,-97.0,101.68862020047025,91.51975818042322,1.0,Conflict,bet,win,7145.75,
4.0,0.0,5.0,8787.0,-144.0,134.79504817110524,134.79504817110524,1.0,Not-conflict,bet,win,12359.875,
4.0,0.0,6.0,14967.0,-212.0,179.71021744596246,197.68123919055873,1.0,Conflict,bet,lose,5967.9375,
4.0,0.0,7.0,17951.0,-277.0,198.2475684642727,257.7218390035545,1.0,Conflict,bet,win,20934.96875,
4.0,0.0,8.0,28418.0,-412.0,254.06245792847344,381.09368689271014,1.0,Conflict,bet,win,20934.96875,28418
5.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
5.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,lose,884.0,
5.0,0.0,2.0,1942.0,-31.0,59.65606205051628,29.82803102525814,1.0,Conflict,bet,lose,411.0,
5.0,0.0,3.0,2148.0,-46.0,62.993901872978896,44.095731311085224,1.0,Conflict,bet,win,2353.5,
5.0,0.0,4.0,3325.0,-76.0,79.75675774333673,71.78108196900307,1.0,Conflict,bet,lose,1100.75,
5.0,0.0,5.0,3875.0,-92.0,86.62968229919323,86.62968229919323,1.0,Not-conflict,bet,lose,458.375,
5.0,0.0,6.0,4104.0,-104.0,89.3576975922677,98.29346735149447,1.0,Conflict,bet,win,4333.1875,
5.0,0.0,7.0,6271.0,-156.0,112.34710152669265,146.05123198470045,1.0,Conflict,bet,lose,2010.59375,
5.0,0.0,8.0,7276.0,-196.0,121.73684798996486,182.60527198494728,1.0,Conflict,bet,lose,2010.59375,-196
6.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
6.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,win,2400.0,
6.0,0.0,2.0,2700.0,-37.0,71.27486980044932,35.63743490022466,1.0,Conflict,bet,win,3900.0,
6.0,0.0,3.0,4650.0,-71.0,95.59267055026419,66.91486938518493,1.0,Conflict,bet,win,6600.0,
6.0,0.0,4.0,7950.0,-122.0,127.70216186330036,114.93194567697033,1.0,Conflict,bet,win,11250.0,
6.0,0.0,5.0,13575.0,-182.0,170.48238510055222,170.48238510055222,1.0,Not-conflict,bet,lose,5443.0,
6.0,0.0,6.0,16296.0,-222.0,188.15845945746912,206.97430540321605,1.0,Conflict,bet,lose,2499.5,
6.0,0.0,7.0,17546.0,-274.0,195.81961281054362,254.5654966537067,1.0,Conflict,bet,win,18795.75,
6.0,0.0,8.0,26944.0,-400.0,246.8593139491,370.28897092365,1.0,Conflict,bet,win,18795.75,26944
7.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
7.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,win,2400.0,
7.0,0.0,2.0,2700.0,-37.0,71.27486980044932,35.63743490022466,1.0,Conflict,bet,lose,1163.0,
7.0,0.0,3.0,3282.0,-58.0,79.19811251784611,55.43867876249227,1.0,Conflict,bet,win,3863.5,
7.0,0.0,4.0,5214.0,-97.0,101.68862020047025,91.51975818042322,1.0,Conflict,bet,win,7145.75,
7.0,0.0,5.0,8787.0,-144.0,134.79504817110524,134.79504817110524,1.0,Not-conflict,bet,win,12359.875,
7.0,0.0,6.0,14967.0,-212.0,179.71021744596246,197.68123919055873,1.0,Conflict,bet,win,21146.9375,
7.0,0.0,7.0,25540.0,-336.0,239.8276666944048,311.77596670272624,1.0,Conflict,bet,win,36113.46875,
7.0,0.0,8.0,43597.0,-521.0,320.11539962104086,480.1730994315613,1.0,Conflict,bet,lose,36113.46875,-521
8.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
8.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,lose,884.0,
8.0,0.0,2.0,1942.0,-31.0,59.65606205051628,29.82803102525814,1.0,Conflict,bet,win,2384.0,
8.0,0.0,3.0,3134.0,-57.0,77.24910487828635,54.07437341480044,1.0,Conflict,bet,win,4326.0,
8.0,0.0,4.0,5297.0,-98.0,102.55956859884971,92.30361173896473,1.0,Conflict,bet,win,7460.0,
8.0,0.0,5.0,9027.0,-146.0,136.7708225875227,136.7708225875227,1.0,Not-conflict,bet,win,12757.0,
8.0,0.0,6.0,15406.0,-215.0,182.53768673712307,200.7914554108354,1.0,Conflict,bet,win,21784.5,
8.0,0.0,7.0,26298.0,-342.0,243.6454297340812,316.73905865430555,1.0,Conflict,bet,win,37190.25,
8.0,0.0,8.0,44893.0,-529.0,325.21941127794065,487.82911691691095,1.0,Conflict,bet,win,37190.25,44893
9.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,lose,1197.0,
9.0,0.0,1.0,1198.0,-14.0,45.95858847536695,13.787576542610084,1.0,Conflict,bet,win,1796.5,
9.0,0.0,2.0,2096.0,-33.0,62.165766134461535,31.082883067230767,1.0,Conflict,bet,lose,865.25,
9.0,0.0,3.0,2529.0,-51.0,68.80062252327524,48.160435766292665,1.0,Conflict,bet,lose,381.625,
9.0,0.0,4.0,2720.0,-68.0,71.55948529768511,64.4035367679166,1.0,Conflict,bet,win,2910.8125,
9.0,0.0,5.0,4175.0,-96.0,90.18919261878892,90.18919261878892,1.0,Not-conflict,bet,lose,1359.40625,
9.0,0.0,6.0,4855.0,-114.0,97.84579956086213,107.63037951694835,1.0,Conflict,bet,win,5534.703125,
9.0,0.0,7.0,7622.0,-174.0,124.82949972122152,162.27834963758798,1.0,Conflict,bet,lose,2593.3515625,
9.0,0.0,8.0,8919.0,-219.0,135.88475275887947,203.8271291383192,1.0,Conflict,bet,win,2593.3515625,8919
10.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
10.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,win,2400.0,
10.0,0.0,2.0,2700.0,-37.0,71.27486980044932,35.63743490022466,1.0,Conflict,bet,lose,1163.0,
10.0,0.0,3.0,3282.0,-58.0,79.19811251784611,55.43867876249227,1.0,Conflict,bet,win,3863.5,
10.0,0.0,4.0,5214.0,-97.0,101.68862020047025,91.51975818042322,1.0,Conflict,bet,win,7145.75,
10.0,0.0,5.0,8787.0,-144.0,134.79504817110524,134.79504817110524,1.0,Not-conflict,bet,win,12359.875,
10.0,0.0,6.0,14967.0,-212.0,179.71021744596246,197.68123919055873,1.0,Conflict,bet,win,21146.9375,
10.0,0.0,7.0,25540.0,-336.0,239.8276666944048,311.77596670272624,1.0,Conflict,bet,lose,10237.46875,
10.0,0.0,8.0,30659.0,-430.0,264.69230270611354,397.0384540591703,1.0,Conflict,bet,win,10237.46875,30659
11.0,0.0,0.0,600.0,-3.0,31.637464817394587,3.1637464817394587,1.0,Conflict,bet,win,1800.0,
11.0,0.0,1.0,1500.0,-16.0,51.89067019736057,15.56720105920817,1.0,Conflict,bet,lose,884.0,
11.0,0.0,2.0,1942.0,-31.0,59.65606205051628,29.82803102525814,1.0,Conflict,bet,win,2384.0,
11.0,0.0,3.0,3134.0,-57.0,77.24910487828635,54.07437341480044,1.0,Conflict,bet,lose,1135.0,
11.0,0.0,4.0,3702.0,-81.0,84.51925568163348,76.06733011347013,1.0,Conflict,bet,lose,486.5,
