Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,700.0,-2.0,14.576226170479508,1.457622617047951,1.0,Conflict,bet,lose,1398.0,
0.0,0.0,1.0,1399.0,-18.0,19.3481499800365,5.804444994010949,1.0,Conflict,bet,lose,681.0,
0.0,0.0,2.0,1740.0,-48.0,21.153617274874744,10.576808637437372,1.0,Conflict,bet,win,2080.5,
0.0,0.0,3.0,2780.0,-114.0,25.62207638185275,17.935453467296924,1.0,Conflict,bet,lose,926.25,
0.0,0.0,4.0,3243.0,-192.0,27.288351590772052,24.55951643169485,1.0,Conflict,bet,win,3706.125,
0.0,0.0,5.0,5096.0,-309.0,32.82893790635748,32.82893790635748,1.0,Not-conflict,bet,win,6949.0625,
0.0,0.0,6.0,8571.0,-512.0,40.607839275708464,44.66862320327932,1.0,Conflict,bet,win,12045.53125,
0.0,0.0,7.0,14594.0,-963.0,50.48324997552506,65.62822496818258,1.0,Conflict,bet,win,20616.765625,
0.0,0.0,8.0,24902.0,-1744.0,62.81448443878033,94.2217266581705,1.0,Conflict,bet,lose,20616.765625,-1744
1.0,0.0,0.0,700.0,-2.0,14.576226170479508,1.457622617047951,1.0,Conflict,bet,lose,1398.0,
1.0,0.0,1.0,1399.0,-18.0,19.3481499800365,5.804444994010949,1.0,Conflict,bet,win,2098.0,
1.0,0.0,2.0,2448.0,-60.0,24.323376826804022,12.161688413402011,1.0,Conflict,bet,win,3497.0,
1.0,0.0,3.0,4196.0,-151.0,30.32073404874657,21.224513834122597,1.0,Conflict,bet,lose,1597.5,
1.0,0.0,4.0,4995.0,-256.0,32.561246079364516,29.305121471428066,1.0,Conflict,bet,win,5793.75,
1.0,0.0,5.0,7892.0,-414.0,39.25992940324066,39.25992940324066,1.0,Not-conflict,bet,lose,2482.875,
1.0,0.0,6.0,9133.0,-534.0,41.67646780267918,45.8441145829471,1.0,Conflict,bet,win,10374.4375,
1.0,0.0,7.0,14320.0,-951.0,50.09342130395769,65.121447695145,1.0,Conflict,bet,lose,4236.21875,
1.0,0.0,8.0,16438.0,-1320.0,53.00077635984262,79.50116453976392,1.0,Conflict,bet,lose,4236.21875,-1320
2.0,0.0,0.0,700.0,-2.0,14.576226170479508,1.457622617047951,1.0,Conflict,bet,win,2100.0,
2.0,0.0,1.0,1750.0,-21.0,21.203256245504207,6.3609768736512615,1.0,Conflict,bet,win,2800.0,
2.0,0.0,2.0,3150.0,-72.0,26.965533468030113,13.482766734015057,1.0,Conflict,bet,win,4550.0,
2.0,0.0,3.0,5425.0,-179.0,33.6797992878382,23.57585950148674,1.0,Conflict,bet,lose,2096.0,
2.0,0.0,4.0,6473.0,-305.0,36.202802684014046,32.582522415612644,1.0,Conflict,bet,win,7521.0,
2.0,0.0,5.0,10234.0,-493.0,43.66249749889635,43.66249749889635,1.0,Not-conflict,bet,win,13994.5,
