Simulation,Trial
1.0,3.0
2.0,4.0
3.0,2.0
4.0,8.0
5.0,3.0
6.0,3.0
7.0,2.0
8.0,4.0
9.0,4.0
10.0,8.0
11.0,4.0
12.0,3.0
13.0,3.0
14.0,2.0
15.0,5.0
16.0,4.0
17.0,3.0
18.0,2.0
19.0,2.0
20.0,2.0
21.0,4.0
22.0,3.0
23.0,6.0
24.0,3.0
25.0,7.0
26.0,3.0
27.0,5.0
28.0,2.0
29.0,4.0
30.0,5.0
31.0,2.0
32.0,3.0
33.0,2.0
34.0,4.0
35.0,3.0
36.0,5.0
37.0,3.0
38.0,2.0
39.0,4.0
40.0,5.0
41.0,4.0
42.0,3.0
43.0,3.0
44.0,3.0
45.0,4.0
46.0,2.0
47.0,5.0
48.0,5.0
49.0,3.0
50.0,5.0
51.0,4.0
52.0,2.0
53.0,4.0
54.0,3.0
55.0,4.0
56.0,8.0
57.0,2.0
58.0,6.0
59.0,4.0
60.0,3.0
61.0,5.0
62.0,5.0
63.0,2.0
64.0,2.0
65.0,4.0
66.0,4.0
67.0,2.0
68.0,4.0
69.0,4.0
70.0,3.0
71.0,4.0
72.0,4.0
73.0,4.0
74.0,4.0
75.0,3.0
76.0,3.0
77.0,2.0
78.0,4.0
79.0,3.0
80.0,2.0
81.0,4.0
82.0,2.0
83.0,3.0
84.0,5.0
85.0,5.0
86.0,4.0
87.0,5.0
88.0,5.0
89.0,2.0
90.0,3.0
91.0,2.0
92.0,5.0
93.0,5.0
94.0,4.0
95.0,5.0
96.0,3.0
97.0,3.0
98.0,5.0
99.0,4.0
100.0,8.0
