Simulation,Trial
2.0,3.0
5.0,4.0
7.0,3.0
12.0,4.0
15.0,5.0
17.0,3.0
18.0,4.0
19.0,4.0
20.0,3.0
21.0,4.0
23.0,3.0
24.0,3.0
25.0,4.0
27.0,4.0
28.0,4.0
30.0,3.0
31.0,3.0
32.0,3.0
33.0,4.0
34.0,3.0
37.0,4.0
39.0,4.0
41.0,4.0
42.0,4.0
46.0,3.0
49.0,4.0
50.0,4.0
51.0,3.0
52.0,4.0
53.0,3.0
56.0,3.0
59.0,3.0
60.0,3.0
61.0,5.0
62.0,4.0
64.0,3.0
65.0,3.0
67.0,4.0
68.0,4.0
70.0,3.0
71.0,3.0
72.0,3.0
73.0,4.0
74.0,3.0
76.0,5.0
77.0,3.0
81.0,5.0
82.0,4.0
85.0,6.0
86.0,3.0
92.0,8.0
96.0,4.0
97.0,4.0
98.0,5.0
99.0,3.0
