Simulation,Trial
1.0,4.0
2.0,4.0
3.0,5.0
4.0,4.0
5.0,4.0
6.0,4.0
8.0,4.0
9.0,3.0
10.0,6.0
11.0,7.0
12.0,3.0
13.0,4.0
15.0,5.0
16.0,4.0
17.0,8.0
18.0,3.0
19.0,4.0
20.0,4.0
21.0,3.0
22.0,5.0
23.0,5.0
24.0,5.0
25.0,3.0
26.0,3.0
27.0,7.0
28.0,3.0
29.0,5.0
30.0,3.0
31.0,6.0
32.0,4.0
33.0,4.0
34.0,5.0
35.0,4.0
36.0,5.0
37.0,3.0
38.0,4.0
39.0,6.0
41.0,4.0
42.0,6.0
43.0,3.0
44.0,5.0
45.0,3.0
46.0,4.0
47.0,3.0
48.0,5.0
49.0,5.0
50.0,5.0
51.0,7.0
52.0,6.0
53.0,7.0
54.0,4.0
55.0,3.0
56.0,6.0
57.0,4.0
58.0,6.0
59.0,4.0
60.0,3.0
61.0,4.0
62.0,4.0
63.0,6.0
64.0,5.0
65.0,5.0
66.0,5.0
67.0,5.0
68.0,5.0
69.0,4.0
70.0,5.0
71.0,4.0
72.0,4.0
73.0,5.0
75.0,5.0
76.0,8.0
77.0,8.0
78.0,3.0
79.0,5.0
80.0,3.0
81.0,6.0
82.0,4.0
83.0,3.0
84.0,4.0
85.0,4.0
86.0,6.0
87.0,4.0
88.0,5.0
89.0,3.0
90.0,4.0
91.0,4.0
92.0,3.0
93.0,4.0
94.0,3.0
95.0,4.0
96.0,4.0
97.0,6.0
98.0,3.0
99.0,4.0
100.0,4.0
