Simulation,Trial
1.0,2.0
2.0,6.0
3.0,3.0
4.0,4.0
5.0,2.0
6.0,3.0
7.0,3.0
8.0,3.0
9.0,4.0
10.0,3.0
11.0,2.0
12.0,3.0
13.0,2.0
14.0,4.0
15.0,2.0
16.0,4.0
17.0,3.0
18.0,2.0
19.0,5.0
20.0,3.0
21.0,2.0
22.0,4.0
23.0,3.0
24.0,2.0
25.0,3.0
26.0,2.0
27.0,2.0
28.0,3.0
29.0,2.0
30.0,3.0
31.0,2.0
32.0,5.0
33.0,4.0
34.0,3.0
35.0,4.0
36.0,4.0
37.0,2.0
38.0,6.0
39.0,2.0
40.0,2.0
41.0,2.0
42.0,8.0
43.0,3.0
44.0,4.0
45.0,3.0
46.0,2.0
47.0,2.0
48.0,3.0
49.0,2.0
50.0,2.0
51.0,4.0
52.0,5.0
53.0,2.0
54.0,2.0
55.0,4.0
56.0,7.0
57.0,5.0
58.0,7.0
59.0,3.0
60.0,8.0
61.0,3.0
62.0,4.0
63.0,3.0
64.0,5.0
65.0,2.0
66.0,4.0
67.0,4.0
68.0,3.0
69.0,4.0
70.0,2.0
71.0,4.0
72.0,3.0
73.0,2.0
74.0,3.0
75.0,5.0
76.0,3.0
77.0,2.0
78.0,3.0
79.0,3.0
80.0,3.0
81.0,5.0
82.0,4.0
83.0,8.0
84.0,3.0
85.0,5.0
86.0,6.0
87.0,7.0
88.0,3.0
89.0,3.0
90.0,2.0
91.0,2.0
92.0,3.0
93.0,4.0
94.0,2.0
95.0,2.0
96.0,4.0
97.0,3.0
98.0,4.0
99.0,2.0
100.0,3.0
