Simulation,Trial
1.0,2.0
2.0,4.0
3.0,3.0
4.0,4.0
5.0,3.0
6.0,3.0
9.0,4.0
11.0,3.0
12.0,4.0
13.0,2.0
14.0,2.0
16.0,3.0
23.0,2.0
24.0,4.0
25.0,4.0
27.0,3.0
28.0,3.0
29.0,3.0
31.0,3.0
32.0,4.0
33.0,3.0
36.0,4.0
37.0,4.0
38.0,3.0
39.0,3.0
42.0,3.0
43.0,4.0
44.0,4.0
45.0,3.0
46.0,4.0
47.0,4.0
49.0,4.0
50.0,4.0
52.0,3.0
57.0,4.0
59.0,3.0
61.0,4.0
62.0,3.0
64.0,4.0
65.0,4.0
67.0,2.0
68.0,2.0
70.0,2.0
71.0,3.0
74.0,3.0
76.0,4.0
79.0,3.0
80.0,2.0
81.0,4.0
84.0,2.0
85.0,4.0
87.0,4.0
88.0,2.0
90.0,4.0
92.0,3.0
96.0,4.0
98.0,4.0
100.0,4.0
