Simulation,Trial
2.0,4.0
3.0,4.0
4.0,4.0
5.0,4.0
6.0,4.0
7.0,3.0
8.0,3.0
10.0,3.0
12.0,4.0
13.0,4.0
15.0,4.0
16.0,4.0
18.0,4.0
20.0,4.0
21.0,4.0
22.0,4.0
23.0,3.0
24.0,4.0
28.0,4.0
29.0,4.0
30.0,4.0
31.0,3.0
33.0,4.0
34.0,3.0
35.0,4.0
36.0,4.0
37.0,4.0
39.0,4.0
40.0,3.0
42.0,4.0
43.0,4.0
44.0,3.0
45.0,3.0
50.0,4.0
51.0,4.0
52.0,3.0
53.0,4.0
54.0,4.0
59.0,3.0
61.0,4.0
62.0,4.0
63.0,3.0
66.0,4.0
67.0,3.0
68.0,4.0
69.0,4.0
72.0,3.0
74.0,4.0
75.0,4.0
76.0,4.0
77.0,4.0
80.0,3.0
81.0,4.0
83.0,4.0
84.0,3.0
85.0,4.0
86.0,4.0
87.0,3.0
88.0,4.0
89.0,4.0
91.0,3.0
92.0,3.0
93.0,3.0
94.0,4.0
95.0,4.0
99.0,3.0
